name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_curr
Senior Data Analyst - Remote;Infogain Technologies Sp. z o.o.;;data analyst;ZDALNA;N/A;21840.0;26880.0;PLN
HR Data Analyst;Nordcloud;;data analyst;ZDALNA;N/A;11000.0;13000.0;PLN
[remote] Senior Data Analyst;Justpoint;;data analyst;ZDALNA;N/A;19991.0;27988.0;PLN
Data & System Analyst (Fintech);Meniga sp. z o.o;;data analyst;Warszawa;PL;18000.0;23000.0;PLN
Data Analyst;Connectis_;;data analyst;Warszawa;PL;19500.0;21500.0;PLN
Senior Data Analyst;hubQuest;;data analyst;ZDALNA;N/A;20000.0;26000.0;PLN
Product Data Analyst;Jamf;;data analyst;ZDALNA;N/A;7000.0;10000.0;PLN
Global HR Master Data Analyst;Danish Crown GBS;;data analyst;Kraków;PL;0.0;0.0;PLN
Remote Mid Data Analyst;Link Group;;data analyst;ZDALNA;N/A;18480.0;25200.0;PLN
Senior Data Analyst;Alcon;;data analyst;ZDALNA;N/A;0.0;0.0;PLN
Master Data Management Analyst;Sylvamo Polska Sp. z o.o.;;data analyst;Kraków;PL;11700.0;14300.0;PLN
Data Engineer in Microsoft Azure Cloud;Avanade Poland;;data analyst;ZDALNA;N/A;19320.0;29400.0;PLN
HR Student Assistant;Falck Digital Technology Poland;;data analyst;Warsaw;PL;0.0;0.0;PLN
Data Architect;AVENGA;;data analyst;ZDALNA;N/A;25200.0;30200.0;PLN
Senior IT Analyst (FinTech);Infopulse;;data analyst;ZDALNA;N/A;21000.0;25200.0;PLN
Azure Data Engineer - Remote;Link Group;;data analyst;ZDALNA;N/A;18480.0;23520.0;PLN
Junior /MId SQL Specialist  - Remote;Link Group;;data analyst;ZDALNA;N/A;8400.0;16800.0;PLN
Analityk IT;Ness Solution Sp. z o. o.;;data analyst;Warszawa;PL;18480.0;21840.0;PLN
Quantitative Research Analyst;Chorus One;;data analyst;ZDALNA;N/A;7500.0;9166.0;USD
Software Engineer - Data Platforms (Expert);VirtusLab;;data analyst;ZDALNA;N/A;26000.0;31000.0;PLN
Remote Mid Data Engineer;Kingfisher plc.;;data engineer;ZDALNA;N/A;15000.0;19000.0;PLN
Senior Data Engineer (Azure);GetInData | Part of Xebia;;data engineer;ZDALNA;N/A;26880.0;33600.0;PLN
Big Data Engineer;Kontakt.io;;data engineer;ZDALNA;N/A;26880.0;31920.0;PLN
Cloud Data Engineer;VML Enterprise Solutions;;data engineer;ZDALNA;N/A;13000.0;17000.0;PLN
Data Engineer Python;Connectis_;;data engineer;ZDALNA;N/A;28000.0;33000.0;PLN
Senior Data Engineer;Digital Hub Warsaw at Bayer;;data engineer;Warsaw;PL;18000.0;28000.0;PLN
Data Engineer (Support team);Centrum Informatyki Statystycznej;;data engineer;Warszawa;PL;8000.0;14000.0;PLN
Senior CUDA Math Libraries Engineer - Data & Image;NVIDIA;;data engineer;ZDALNA;N/A;0.0;0.0;PLN
Senior Data Engineer;ITDS;;data engineer;Kraków;PL;21840.0;25200.0;PLN
Senior Data Science Platform Engineer;NVIDIA;;data engineer;ZDALNA;N/A;0.0;0.0;PLN
Senior Software Engineer - Data Clean Rooms;Snowflake;;data engineer;Warsaw;PL;30000.0;60000.0;PLN
Principal Data Scientist Engineer (1/515);Infolet;;data engineer;ZDALNA;N/A;31920.0;35280.0;PLN
AI Engineer / Data Scientist;7N;;data engineer;ZDALNA;N/A;20160.0;26880.0;PLN
Senior Data Scientist/ AI Engineer;SquareOne;;data engineer;ZDALNA;N/A;23520.0;30240.0;PLN
Senior Software Engineer (Data Experience);hyperexponential;;data engineer;Warszawa;PL;27000.0;33000.0;PLN
Data Engineer CE;Siemens Healthineers;;data engineer;ZDALNA;N/A;11000.0;21000.0;PLN
Senior Data Engineer (Python / Snowflake);1dea;;data engineer;ZDALNA;N/A;23520.0;26880.0;PLN
Senior Data Engineer;Sunscrapers;;data engineer;ZDALNA;N/A;27000.0;34000.0;PLN
Azure Data Engineer - Remote;Link Group;;data engineer;ZDALNA;N/A;18480.0;23520.0;PLN
Data Engineer (IBM DataStage, Python);Devire;;data engineer;Gdynia;PL;21840.0;26880.0;PLN
Senior NLP Data Scientist;Adaptiq;;data scientist;ZDALNA;N/A;21990.0;27988.0;PLN
Data Scientist;nCube;;data scientist;ZDALNA;N/A;15993.0;25988.0;PLN
Data Scientist;Cognitum Services SA;;data scientist;ZDALNA;N/A;28560.0;36960.0;PLN
Principal Data Scientist Engineer (1/515);Infolet;;data scientist;ZDALNA;N/A;31920.0;35280.0;PLN
AI Engineer / Data Scientist;7N;;data scientist;ZDALNA;N/A;20160.0;26880.0;PLN
Senior Data Scientist/ AI Engineer;SquareOne;;data scientist;ZDALNA;N/A;23520.0;30240.0;PLN
Data Scientist;Shelf;;data scientist;ZDALNA;N/A;23989.0;31986.0;PLN
Remote Data Scientist;Webinterpret Poland Sp. z o.o.;;data scientist;ZDALNA;N/A;0.0;0.0;PLN
Data Scientist;7N;;data scientist;Warszawa;PL;21840.0;26880.0;PLN
Senior Generative AI Data Scientist;Spyrosoft;;data scientist;Warszawa;PL;18480.0;26880.0;PLN
Lead Data Scientist (NLP, LLM, GenAI);Sigmoidal;;data scientist;ZDALNA;N/A;32000.0;44000.0;PLN
Senior Data Scientist - Remote;Link Group;;data scientist;ZDALNA;N/A;25200.0;28560.0;PLN
Lead Data Scientist;Addepto;;data scientist;ZDALNA;N/A;19000.0;34000.0;PLN
Data Scientist with ML;AVENGA;;data scientist;ZDALNA;N/A;25700.0;27700.0;PLN
Senior Data Scientist (NLP and LLMs), AI Research;Brainly Sp. z o.o.;;data scientist;ZDALNA;N/A;26000.0;35000.0;PLN
Data Scientist/Python Developer;apreel Sp. z o.o.;;data scientist;ZDALNA;N/A;25200.0;28560.0;PLN
Data Scientist;Lingaro;;data scientist;ZDALNA;N/A;21840.0;25200.0;PLN
Senior Data Scientist;SKY ENGINE AI;;data scientist;Warsaw;PL;20000.0;28000.0;PLN
Staff Machine Learning Engineer;Stellantis;;data scientist;ZDALNA;N/A;20000.0;30000.0;PLN
BI Developer;ITMatch;;data scientist;Cracow;PL;17000.0;24000.0;PLN
