name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_curr;salary_avg;is_senior
qa/ data analyst;AVENGA;Testing SQL QlikView PySpark;data analyst;wrocław;PL;16800.0;20000.0;PLN;18400.0;0
data analyst /product analyst;apreel Sp. z o.o.;Data SQL Cloud computing UX;data analyst;warszawa;PL;23520.0;28560.0;PLN;26040.0;0
mid data analyst;SNI;Data SQL BI Qlik;data analyst;wrocław;PL;15120.0;18480.0;PLN;16800.0;0
traffic data analyst;RTB House;Backend Python SQL GDS;data analyst;N/A;;10000.0;15000.0;PLN;12500.0;0
data analyst;Cognitum Services SA;Data AWS SQL Data analysis;data analyst;warszawa;PL;17000.0;23000.0;PLN;20000.0;0
data analyst (qlik admin);Volvo Group;Backend Qlik Azure Databricks;data analyst;N/A;;19000.0;24000.0;PLN;21500.0;0
data analyst;Ferrosan Medical Devices;Data Python Degree Data science;data analyst;szczecin;PL;14000.0;24000.0;PLN;19000.0;0
data analyst;SymphonyAI;Data Python SQL ETL;data analyst;poznań;PL;0.0;0.0;PLN;0.0;0
data analyst;Volvo Group;Data SQL Azure Power BI;data analyst;wrocław;PL;12000.0;18000.0;PLN;15000.0;0
data analyst;Schneider Electric;Data Python SQL Tableau;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
data & management information reporting analyst;IPF Digital;Data SQL Data analysis Data analytics;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
.net with powerbi engineer;Capco Poland;Data Data analyst .NET Power Query/Power BI;data analyst;N/A;;0.0;0.0;PLN;0.0;0
senior technical project manager;RTB House;Project Manager Data analyst Project management Web technologies;data analyst;N/A;;27000.0;35000.0;PLN;31000.0;1
data engineer in microsoft azure cloud;Avanade Poland;Data Data analyst Python Azure;data analyst;N/A;;19320.0;29400.0;PLN;24360.0;0
remote senior python developer (azure);Link Group;Backend Python K8s PostgreSQL;data analyst;N/A;;21840.0;30240.0;PLN;26040.0;1
data engineer;Tooploox;Data SQL Snowflake BigQuery;data analyst;N/A;;15000.0;18000.0;PLN;16500.0;0
oracle/sql developer;T-Mobile Polska;Data SQL Oracle MSSQL;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
data scientist;Avenga;Data Computer vision NLP SQL;data analyst;N/A;;25200.0;28560.0;PLN;26880.0;0
senior data engineer - remote;Link Group;Data Python ELT ETL;data analyst;N/A;;23520.0;26880.0;PLN;25200.0;1
senior data engineer;Craft.co;Data Python Data engineering SQL;data engineer;N/A;;28000.0;34000.0;PLN;31000.0;1
financial data engineer;SoftKraft;Backend Python SQL Git;data engineer;N/A;;15120.0;19320.0;PLN;17220.0;0
big data engineer (with palantir foundry);N-iX;Data Python Palantir PySpark;data engineer;N/A;;20058.0;27531.0;PLN;23794.5;0
data engineer with cloud;GFT Poland;Data Python Dataproc for Spark Dataflow for Apache Beam;data engineer;poznań;PL;19320.0;26376.0;PLN;22848.0;0
data engineer;AVENGA;Data GCP BigQuery Dataflow;data engineer;N/A;;20160.0;21840.0;PLN;21000.0;0
mlops (data platform engineer);SquareOne;DevOps Python AWS Docker;data engineer;N/A;;25000.0;28000.0;PLN;26500.0;0
lead data engineer;Sunscrapers;Data Python SQL Data warehouses;data engineer;N/A;;30000.0;40000.0;PLN;35000.0;0
middle / senior big data engineer (aws/databricks);SoftServe;Data AWS Python Databricks;data engineer;N/A;;0.0;0.0;PLN;0.0;1
data platform engineer;Augmenta;Data Python SQL MySQL;data engineer;N/A;;30000.0;37000.0;PLN;33500.0;0
senior/expert data/ml engineer;Nordea Bank ABP;Data SQL AI Degree;data engineer;gdynia;PL;0.0;0.0;PLN;0.0;1
remote senior data engineer;Varwise;Data Scala Spark AWS;data engineer;zachodniopomorskie;PL;29498.0;39331.0;PLN;34414.5;1
data engineer (senior/principal);Addepto;Data Python Big data Databricks;data engineer;N/A;;21000.0;31920.0;PLN;26460.0;1
senior data engineer z j. niemieckim;dmTECH;Data Big data Spark Hive;data engineer;N/A;;15120.0;28896.0;PLN;22008.0;1
ms data engineer azure data factory;1dea;Data Python Azure Data Factory SQL;data engineer;N/A;;27720.0;31920.0;PLN;29820.0;0
lead data scientist / ml engineer;Addepto;AI Python ML Data science;data engineer;N/A;;19320.0;28560.0;PLN;23940.0;0
senior data engineer;ING BANK ŚLĄSKI SPÓŁKA AKCYJNA;Data Python PySpark pandas;data engineer;warszawa;PL;14000.0;28000.0;PLN;21000.0;1
mid data & ai engineer fully remote;Nest Bank;Data Python Big data AI;data engineer;N/A;;15000.0;22000.0;PLN;18500.0;0
senior big data engineer (python) - data&ai;Allegro;Data Python Scala Spark;data engineer;warszawa;PL;18400.0;25410.0;PLN;21905.0;1
mid big data engineer (python) - data&ai;Allegro;Data Python Scala Spark;data engineer;warszawa;PL;14200.0;19690.0;PLN;16945.0;0
senior data engineer;Avenga;Data Kafka Degree MySQL;data engineer;N/A;;21840.0;26880.0;PLN;24360.0;1
remote data scientist;Link Group;Data SQL Data science Machine learning;data scientist;N/A;;18480.0;25200.0;PLN;21840.0;0
lead data scientist / ml engineer;Addepto;AI Python ML Data science;data scientist;N/A;;19320.0;28560.0;PLN;23940.0;0
senior data scientist;Adform Sp. z o.o.;Data Machine learning Analytical skills Python;data scientist;warszawa;PL;22400.0;28823.0;PLN;25611.5;1
senior data scientist with time series;Crestt;Data Python Machine learning OOP;data scientist;N/A;;18480.0;22680.0;PLN;20580.0;1
senior data scientist;Devire;Data Python SQL DAX;data scientist;łódź;PL;25200.0;29400.0;PLN;27300.0;1
data scientist (pharma);7N Sp. z o.o.;Data Python Healthcare data NumPy;data scientist;N/A;;20160.0;24024.0;PLN;22092.0;0
data scientist;Avenga;Data Computer vision NLP SQL;data scientist;N/A;;25200.0;28560.0;PLN;26880.0;0
data scientist -b2b product governance & economics;T-Mobile Polska;Data SQL Data analysis Python;data scientist;warszawa;PL;0.0;0.0;PLN;0.0;0
ai engineer / data scientist;7N;AI Data science Big data ML;data scientist;warszawa;PL;20160.0;26880.0;PLN;23520.0;0
senior llm engineer;OTAKOYI;AI Data scientist Python Machine learning;data scientist;N/A;;0.0;0.0;PLN;0.0;1
senior data scientist - computer vision;Tesco Technology;Data Python Testing Docker;data scientist;kraków;PL;26000.0;36000.0;PLN;31000.0;1
senior data scientist generative ai;SoftServe;AI CV NLP Transformer models;data scientist;N/A;;20000.0;30000.0;PLN;25000.0;1
data scientist / ml engineer;Addepto;AI Python Machine learning Data science;data scientist;N/A;;14280.0;25200.0;PLN;19740.0;0
nlp data scientist;Cognitum Services SA;Data Python NLP LLM;data scientist;N/A;;28560.0;36960.0;PLN;32760.0;0
senior technical project manager;RTB House;Project Manager Data scientist Project management Web technologies;data scientist;N/A;;27000.0;35000.0;PLN;31000.0;1
senior machine learning engineer;SoftServe;AI Python AWS GCP;data scientist;N/A;;20000.0;30000.0;PLN;25000.0;1
senior ai/ml engineer;Lingaro;AI Python AI LLM;data scientist;N/A;;25200.0;33600.0;PLN;29400.0;1
senior big data engineer (python) - data&ai;Allegro;Data Python Scala Spark;data scientist;warszawa;PL;18400.0;25410.0;PLN;21905.0;1
data & management information reporting analyst;IPF Digital;Data SQL Data analysis Data analytics;data scientist;warszawa;PL;0.0;0.0;PLN;0.0;0
senior dev in machine learning - z j. niemieckim;dmTECH;Data GCP CI Clean Code;data scientist;N/A;;15120.0;28896.0;PLN;22008.0;1
